"userid","total_deposited","total_stakes","play_ratio_pct"
21833,1090.00,180.37,16.55
43896,1090.00,87.77,8.05
17065,1090.00,38.33,3.52
37617,1080.00,487.90,45.18
5509,1080.00,0,0.00
67955,1071.40,0,0.00
7296,1065.00,0,0.00
13739,1063.14,8.45,0.79
29022,1050.00,54.91,5.23
32056,1042.36,13.45,1.29
53956,1040.00,26.43,2.54
57989,1035.00,155.42,15.02
49054,1033.14,0,0.00
65103,1030.20,154.89,15.03
8825,1030.00,1.10,0.11
46404,1027.12,3.22,0.31
41050,1025.00,15.33,1.50
66326,1020.20,0,0.00
9000,1020.00,72.35,7.09
13128,1020.00,130.57,12.80
65754,1017.00,188.22,18.51
22519,1013.72,0,0.00
48139,1005.40,64.04,6.37
59850,1005.00,60.11,5.98
73,1005.00,26.81,2.67
63444,1005.00,84.11,8.37
49252,1005.00,290.23,28.88
66749,1000.00,0,0.00
8221,997.26,0,0.00
25639,995.50,0.00,0.00
5173,995.25,0,0.00
41117,994.50,252.71,25.41
59431,993.17,388.94,39.16
32705,990.00,74.75,7.55
44981,989.81,0,0.00
56051,985.11,71.12,7.22
3541,982.90,53.47,5.44
31351,979.50,0,0.00
18680,975.00,7.71,0.79
55635,975.00,0,0.00
23379,974.65,0,0.00
69602,973.78,8.28,0.85
58238,971.00,0,0.00
40623,970.00,82.20,8.47
72080,969.00,0,0.00
14165,969.00,0,0.00
64016,967.69,64.10,6.62
27009,965.00,360.60,37.37
48252,964.00,0,0.00
39561,963.90,434.65,45.09
59561,961.20,127.21,13.23
13036,959.38,0,0.00
41570,958.89,166.14,17.33
52261,957.58,80.74,8.43
43970,955.00,20.19,2.11
45732,955.00,0,0.00
46548,954.47,104.28,10.93
32875,945.00,0,0.00
6582,942.20,0,0.00
72262,940.20,16.79,1.79
4780,940.00,5.28,0.56
62636,939.38,1.14,0.12
65986,938.49,0,0.00
1089,936.50,0.94,0.10
71870,935.10,0,0.00
15528,934.62,59.56,6.37
45270,930.00,8.09,0.87
50262,929.84,0,0.00
70246,926.20,358.98,38.76
61883,918.20,25.13,2.74
65590,918.00,3.51,0.38
9409,918.00,2.00,0.22
35786,917.00,1.76,0.19
61266,915.53,186.72,20.39
2044,915.00,0,0.00
31856,914.00,0,0.00
38758,905.00,42.65,4.71
55674,901.77,0,0.00
14376,900.00,19.82,2.20
11218,899.41,8.79,0.98
26542,896.60,12.17,1.36
33580,890.00,3.81,0.43
66736,888.68,147.65,16.61
17343,886.00,0,0.00
56684,880.00,119.04,13.53
26249,879.63,206.04,23.42
56600,875.00,4.40,0.50
54602,872.23,86.60,9.93
56521,868.00,5.82,0.67
46286,866.90,0,0.00
8884,865.00,7.42,0.86
40123,865.00,349.20,40.37
47612,862.93,35.87,4.16
30295,862.55,98.93,11.47
65736,860.00,0,0.00
37791,860.00,0,0.00
9459,851.70,1.18,0.14
13202,850.00,11.24,1.32
39954,843.26,37.99,4.51
69343,843.00,39.38,4.67
65228,840.80,4.21,0.50
21912,836.00,1.88,0.22
27399,835.00,15.05,1.80
58447,835.00,0,0.00
28278,831.98,38.05,4.57
15625,831.50,21.11,2.54
41250,830.50,0,0.00
36432,829.48,0,0.00
37705,828.66,0,0.00
4675,825.00,2.80,0.34
38114,821.97,97.43,11.85
