"UserID","Date","Trnmnts","StakesT","WinningsT"
429,2015-11-24,1,2.07078,6.77711
429,2015-11-29,2,4.14508,4.5219
429,2015-11-30,6,10.38814,0
429,2015-12-07,3,8.09121,0
429,2015-12-31,1,5.03432,31.49657
429,2016-01-01,5,24.02349,0
429,2016-01-02,5,29.06658,0
429,2016-01-03,1,2.01724,4.43792
429,2016-01-06,3,11.21824,0
429,2016-01-08,1,2.03083,0
429,2016-01-09,3,20.30832,0
429,2016-01-10,5,14.21583,10.92033
429,2016-01-11,2,7.10791,0
429,2016-01-12,2,4.03596,4.40286
429,2016-01-13,2,4.05194,0
429,2016-02-03,1,5.04245,0
429,2016-02-08,3,14.79396,0
429,2016-02-10,1,4.89703,0
429,2016-02-11,2,9.7619,14.08376
429,2016-02-20,1,4.94689,0
429,2016-02-23,4,19.86976,9.03171
429,2016-02-28,2,9.97968,0
429,2016-03-06,1,5.04995,0
429,2016-03-09,1,4.99111,0
429,2016-03-21,1,4.88099,0
429,2016-03-23,2,9.79588,0
429,2016-04-02,1,4.84355,0
429,2016-04-07,1,4.83444,0
429,2016-04-08,4,19.3162,23.91697
429,2016-04-10,2,9.6581,15.80417
429,2016-04-11,3,14.48271,10.74353
429,2016-04-12,3,19.28657,43.83312
429,2016-04-13,1,9.64675,17.53955
429,2016-04-16,1,9.76528,0
